Part;Value;Device
C1;100n;C-EUC0805
C2;47p;C-EUC0805
C3;1u;C-EUC0805
C4;4n7;C-EUC0805
C5;100n;C-EUC0805
C6;47u;C-EUC0805
C7;1n;C-EUC0805
C8;1n;C-EUC0805
C9;1u;C-EUC0805
C10;4n7;C-EUC0805
C11;10n;C-EUC0805
C12;4n7;C-EUC0805
C13;10n;C-EUC0805
C14;470n;C-EUC0805
C15;10n;C-EUC0805
C16;470n;C-EUC0805
C17;10n;C-EUC0805
C18;1u;C-EUC0805
C19;4n7;C-EUC0805
C20;100n;C-EUC0805
C21;47u;C-EUC0805
C22;1n;C-EUC0805
C23;1u;C-EUC0805
C24;1n;C-EUC0805
C25;4n7;C-EUC0805
C26;10n;C-EUC0805
C27;4n7;C-EUC0805
C28;10n;C-EUC0805
C29;470n;C-EUC0805
C30;10n;C-EUC0805
C31;470n;C-EUC0805
C32;10n;C-EUC0805
C33;1u;C-EUC0805
C34;100p;C-EUC0805
C35;1u;C-EUC0805
C36;1u;C-EUC0805
C40;100u;CPOL-USE2.5-6
C41;47u;CPOL-USE2.5-6
C42;100u;CPOL-USE2.5-6
C43;10n;C-EUC0805
C44;10u;C-EUC0805
D1;LED.3;LED.3
D2;SM5817;1N4148W-13-F
D3;LED.3;LED.3
DEPTH;C10k;16MM.1
IC1;LM78M05CDTX_NOPB;LM78M05CDTX_NOPB
IC2;TL072D;TL072D
IC3;TL072D;TL072D
LDR1;;LDR1
MAN;;SPDT.LUGS
MANUAL;B25k;16MM.1
MIX1;B25k;16MM.1
R1;1M;R-US_R0805
R2;100k;R-US_R0805
R3;100k;R-US_R0805
R4;10k;R-US_R0805
R5;2k2;R-US_R0805
R6;10k;R-US_R0805
R7;18k;R-US_R0805
R8;22k;R-US_R0805
R9;10k;R-US_R0805
R10;10k;R-US_R0805
R11;12k;R-US_R0805
R12;8k2;R-US_R0805
R13;82k;R-US_R0805
R14;8k2;R-US_R0805
R15;82k;R-US_R0805
R16;10k;R-US_R0805
R17;1k5;R-US_R0805
R18;10k;R-US_R0805
R19;18k;R-US_R0805
R20;22k;R-US_R0805
R21;10k;R-US_R0805
R22;10k;R-US_R0805
R23;12k;R-US_R0805
R24;8k2;R-US_R0805
R25;82k;R-US_R0805
R26;8k2;R-US_R0805
R27;82k;R-US_R0805
R28;4k7;R-US_R0805
R29;22k;R-US_R0805
R30;2k2;R-US_R0805
R31;15k;R-US_R0805
R32;22k;R-US_R0805
R33;1k;R-US_R0805
R34;100k;R-US_R0805
R35;12k;R-US_R0805
R41;RLED;R-US_R0805
R42;10k;R-US_R0805
R43;10k;R-US_R0805
R44;100k;R-US_R0805
R45;100k;R-US_R0805
R46;68k;R-US_R0805
R47;4k7;R-US_R0805
R51;2k2;R-US_R0805
R55;2k2;R-US_R0805
R56;1M;R-US_R0805
R58;3k9;R-US_R0805
R59;47k;R-US_R0805
REGEN;B25k;16MM.1
SPEED;C250k;16MM.1
U$5;ES56028S;ES56028S
U$6;ES56028S;ES56028S
XOVR;B10k;16MM.1
